"Alipay","支付宝"
"alipay","支付宝"
"You will be redirected to chinabank website when you place an order.","当您确认订单后，系统将跳转到支付宝页面完成支付"
"You will be redirected to Alipay in a few seconds.","几秒钟之后将带您转向支付宝页面。"
"You will be redirected to Alipay website when you place an order.","在下一步点击支付按钮的时候，您将跳转到支付宝的网站。"
"wait buyer pay","等待付款(支付宝)"
"wait seller end goods","等待卖家发货(支付宝)"
"send goods","卖家已发货(支付宝)"
"wait buyer confirm goods","等待买家收货(支付宝)"
"trade finishen","已完成(支付宝)"
"Alipay Login","启用支付宝登陆"
"Service Type","服务类型"
"Gateway","支付网关地址"
"Partner ID","商家ID"
"Security Code","商家密钥"
"Seller Email","商家Email"
"Transport","传送协议"
"Order status when payment accepted by Alipay","支付成功订单状态"
"Order status when payment refused by Alipay","支付失败订单状态"
"Success! five seconds after turn to home page.","支付成功！5秒以后跳转到商家页面。"
"There was an error occurred during paying process.","支付过程中出现错误。"